GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xiaohongshu,com.xiaohongshu.controller,NotificationController,0,9,0,0,0,2,0,2,0,2
xiaohongshu,com.xiaohongshu.controller,AuthController,17,253,1,11,5,49,1,16,0,11
xiaohongshu,com.xiaohongshu.controller,AIController,0,81,0,6,0,18,0,6,0,3
xiaohongshu,com.xiaohongshu.controller,PostController,34,913,5,25,9,163,5,30,0,20
xiaohongshu,com.xiaohongshu.controller,FileController,38,123,8,8,12,31,5,8,0,5
xiaohongshu,com.xiaohongshu.service,PostService,437,412,14,26,88,92,13,37,6,24
xiaohongshu,com.xiaohongshu.service,AIService,23,165,5,9,7,35,6,6,1,4
xiaohongshu,com.xiaohongshu.service,NotificationService,77,273,12,18,18,60,9,11,0,5
xiaohongshu,com.xiaohongshu.service,UserService,0,306,1,21,0,63,1,24,0,14
xiaohongshu,com.xiaohongshu,DataInitializer,54,0,2,0,15,0,4,0,3,0
xiaohongshu,com.xiaohongshu,DbConnectionTest,81,0,2,0,22,0,3,0,2,0
xiaohongshu,com.xiaohongshu,XiaohongshuApplication,5,3,0,0,2,1,1,1,1,1
xiaohongshu,com.xiaohongshu.config,WebConfig,0,68,0,0,0,8,0,3,0,3
xiaohongshu,com.xiaohongshu.config,SecurityConfig,59,0,0,0,9,0,6,0,6,0
xiaohongshu,com.xiaohongshu.entity,Collection,184,15,38,0,8,7,29,4,10,4
xiaohongshu,com.xiaohongshu.entity,Comment,307,52,70,0,5,22,42,15,7,15
xiaohongshu,com.xiaohongshu.entity,User,263,52,62,0,0,22,35,15,4,15
xiaohongshu,com.xiaohongshu.entity,Like,168,31,38,0,2,13,24,9,5,9
xiaohongshu,com.xiaohongshu.entity,Follow,168,31,38,0,2,13,24,9,5,9
xiaohongshu,com.xiaohongshu.entity,Post,336,103,81,5,2,31,46,23,3,23
xiaohongshu,com.xiaohongshu.dto,NotificationDTO,254,39,54,0,13,14,37,7,10,7
